Title,Year,imdbID,Type,Genre,Rated
The Powerpuff Girls Movie,2002,tt0289408,movie,"Animation, Action, Adventure",PG
Tim and Eric's Billion Dollar Movie,2012,tt1855401,movie,Comedy,R
An Extremely Goofy Movie,2000,tt0208185,movie,"Animation, Comedy, Family, Sport",G
Doctor Who: The Movie,1996,tt0116118,movie,"Adventure, Drama, Sci-Fi",TV-14
Left Behind: The Movie,2000,tt0190524,movie,"Action, Drama, Fantasy",PG-13
It's Pat: The Movie,1994,tt0110169,movie,Comedy,PG-13
Violet Evergarden: The Movie,2020,tt8652818,movie,"Animation, Drama, Fantasy",Not Rated
Threat Level Midnight: The Movie,2019,tt11620828,movie,"Action, Comedy",TV-14
Uno: The Movie,2016,tt6290024,movie,Comedy,N/A
Turbo: A Power Rangers Movie,1997,tt0120389,movie,"Action, Adventure, Family",PG
Street Fighter II: The Animated Movie,1994,tt0114563,movie,"Animation, Action, Adventure",PG-13
The Batman Superman Movie: World's Finest,1997,tt0169590,movie,"Animation, Action, Adventure",TV-PG
The Garfield Movie,2024,tt5779228,movie,"Animation, Adventure, Comedy",PG
Steins;Gate: The Movie - Load Region of Déjà Vu,2013,tt2967286,movie,"Animation, Mystery, Sci-Fi",TV-14
Ray Donovan: The Movie,2022,tt14124268,movie,"Crime, Drama, Thriller",TV-MA
Constantine: City of Demons - The Movie,2018,tt9177882,movie,"Animation, Action, Fantasy",R
Another Gay Movie,2006,tt0443431,movie,"Comedy, Romance",Not Rated
Steven Universe: The Movie,2019,tt10515852,movie,"Animation, Action, Adventure",TV-PG
Yu-Gi-Oh!: The Movie - Pyramid of Light,2004,tt0403703,movie,"Animation, Action, Adventure",PG
Sword Art Online the Movie: Ordinal Scale,2017,tt5544384,movie,"Animation, Action, Adventure",TV-14
Fred: The Movie,2010,tt1595842,movie,"Adventure, Comedy, Family",TV-PG
Piglet's Big Movie,2003,tt0323642,movie,"Animation, Adventure, Comedy",G
Mr. Monk's Last Case: A Monk Movie,2023,tt27145269,movie,"Comedy, Crime, Mystery",TV-PG
